inspect_model_name,accuracy,stderr,total_tokens,input_tokens,output_tokens,task,dataset_samples,completed_samples,run_id,created,start_time,end_time,filename,estimated_cost
google/gemini-1.5-flash,0.5512820512820513,0.05667979681019965,22971,22737,234,benchmarks/run,78,78,6H8NVRirAMXhEtF4isJMb9,2024-09-10T11:27:28-04:00,2024-09-10T11:27:28-04:00,2024-09-10T11:27:32-04:00,2024-09-10T11-27-28-04-00_benchmarks-run_hFchgwL9WMCQVYbmP7DBPu.json,0.0
anthropic/claude-3-sonnet-20240229,0.5384615384615384,0.056811457375076646,27787,27271,516,benchmarks/run,78,78,gB5FNTWTykFySz8S57kBJH,2024-09-10T11:31:00-04:00,2024-09-10T11:31:00-04:00,2024-09-10T12:00:38-04:00,2024-09-10T11-31-00-04-00_benchmarks-run_hyP5zS3UVd6TP4hNGofD5L.json,0.09
together/meta-llama/Meta-Llama-3-8B-Instruct-Turbo,0.47435897435897434,0.056905314133886616,24711,24321,390,benchmarks/run,78,78,HF5TRocLChk94sfaLKjks8,2024-09-10T13:35:20-04:00,2024-09-10T13:35:20-04:00,2024-09-10T13:36:59-04:00,2024-09-10T13-35-20-04-00_benchmarks-run_FN8TCT6vbtVxhJEC6Pw4JV.json,0.0
mistral/open-mixtral-8x7b,0.3717948717948718,0.05507532564433873,42924,28027,14897,benchmarks/run,78,78,DHDDJv7g7wNE6QZT7UgW63,2024-09-10T12:31:15-04:00,2024-09-10T12:31:15-04:00,2024-09-10T12:49:29-04:00,2024-09-10T12-31-15-04-00_benchmarks-run_jsKM2iccaupCtGjbg6UorH.json,0.03
anthropic/claude-2.0,0.47435897435897434,0.056905314133886616,25585,23826,1759,benchmarks/run,78,78,REAv725Hy46poLRnYicBtj,2024-09-10T12:03:31-04:00,2024-09-10T12:03:31-04:00,2024-09-10T12:04:10-04:00,2024-09-10T12-03-31-04-00_benchmarks-run_RSvxHGfxmxwgE4XfusQiRy.json,0.23
mistral/open-mistral-7b,0.2692307692307692,0.05054836466713622,42686,27637,15049,benchmarks/run,78,78,eWK2ZynJzD4my3mV3up4LQ,2024-09-10T12:22:13-04:00,2024-09-10T12:22:13-04:00,2024-09-10T12:31:14-04:00,2024-09-10T12-22-13-04-00_benchmarks-run_QTSCnYUhPTPNFMdGsMPs5r.json,0.01
anthropic/claude-3-5-sonnet-20240620,0.6666666666666666,0.05372153093502534,27803,27271,532,benchmarks/run,78,78,gemwVhHdnEeSiBif7iqc3X,2024-09-10T11:29:31-04:00,2024-09-10T11:29:31-04:00,2024-09-10T11:30:05-04:00,2024-09-10T11-29-31-04-00_benchmarks-run_cT3APXdpfMudyaVKB6sRUN.json,0.09
anthropic/claude-3-haiku-20240307,0.44871794871794873,0.05667979681019966,27790,27271,519,benchmarks/run,78,78,LE74nmzPajxNfopuJGAnK4,2024-09-10T12:01:02-04:00,2024-09-10T12:01:02-04:00,2024-09-10T12:01:23-04:00,2024-09-10T12-01-02-04-00_benchmarks-run_NvBf2VDs3DQBW6vJ92kWvc.json,0.01
openai/gpt-4o,0.717948717948718,0.051282051282051266,23938,23704,234,benchmarks/run,78,78,LjYFZszEoebyECDVVE6tTM,2024-09-10T11:29:19-04:00,2024-09-10T11:29:19-04:00,2024-09-10T11:29:23-04:00,2024-09-10T11-29-19-04-00_benchmarks-run_KFzxonGh5wXkFBKkCNDNb8.json,0.12
google/gemini-1.5-pro,0.5641025641025641,0.056510068207111776,22971,22737,234,benchmarks/run,78,78,FdnMznhzLJYPjXFdPhNsV3,2024-09-10T11:27:34-04:00,2024-09-10T11:27:34-04:00,2024-09-10T11:27:42-04:00,2024-09-10T11-27-34-04-00_benchmarks-run_iWaJaAyfWjcJScMfVNXNku.json,0.08
google/gemini-1.0-pro,0.4358974358974359,0.05651006820711177,22972,22738,234,benchmarks/run,78,78,LG8s5CUsVeDho6WymwjwzX,2024-09-10T11:27:43-04:00,2024-09-10T11:27:43-04:00,2024-09-10T11:27:50-04:00,2024-09-10T11-27-43-04-00_benchmarks-run_36RGLstoRSuVmSs5hejBa4.json,0.01
together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0.44871794871794873,0.05667979681019965,31156,26269,4887,benchmarks/run,78,78,HMinJeJ9cUf9adXsMvhjd3,2024-09-10T13:32:08-04:00,2024-09-10T13:32:08-04:00,2024-09-10T13:33:42-04:00,2024-09-10T13-32-08-04-00_benchmarks-run_W6BecWEDcF5modrdhRtUPY.json,0.01
mistral/mistral-large-2407,0.5897435897435898,0.05605494615384831,28027,27637,390,benchmarks/run,78,78,7yidxEhEBEmdNZTuStZzot,2024-09-10T12:04:43-04:00,2024-09-10T12:04:43-04:00,2024-09-10T12:22:12-04:00,2024-09-10T12-04-43-04-00_benchmarks-run_8GSXHRLAc2Eej9YoBg9Xhr.json,0.09
openai/gpt-3.5-turbo,0.3974358974358974,0.055768608782381685,24447,24109,338,benchmarks/run,78,78,cNuuDcetunqmPomqPSyChU,2024-09-10T11:29:24-04:00,2024-09-10T11:29:24-04:00,2024-09-10T11:29:28-04:00,2024-09-10T11-29-24-04-00_benchmarks-run_TNtUWecpoynJo42T526sSZ.json,0.01
