inspect_model_name,epoch_model_name,epoch_model_publication_date,epoch_organization,epoch_parameters,epoch_training_compute_flop,benchmark,benchmark_publication_date,task_args,prompt_schema,total_samples,accuracy,stderr,baselines,total_tokens,input_tokens,output_tokens,est_cost,cost_source_date,run_id,eval_start_time,eval_end_time,results_generated_time,filename,cot_scoring
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3333333333333333,0.0833333333333333,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1180378,1180213,165,4.13,2025-02-28,ZttoSd39UEawjfVwTQp4Ee,2024-11-06T14:05:42-05:00,2024-11-06T14:05:42-05:00,2025-03-05T11:30:42,2024-11-06T13-48-13-05-00_lab-bench_aPDyKiNKes3uz8ZEqp9Kfa.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.086376926143874,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1167098,1166933,165,4.08,2025-02-28,9iqdPNhu9o9XacrRD4bxJv,2024-11-06T14:10:57-05:00,2024-11-06T14:10:57-05:00,2025-03-05T11:30:42,2024-11-06T14-05-44-05-00_lab-bench_DFScTHss6GXCBn7tzMJi2P.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.086376926143874,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1219520,1219355,165,4.27,2025-02-28,KjxiNKXpvmNy97Q5XepBM5,2024-11-06T14:18:22-05:00,2024-11-06T14:18:22-05:00,2025-03-05T11:30:42,2024-11-06T14-10-58-05-00_lab-bench_6P3tQquNfmYMFzDwxR4uco.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4848484848484848,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1188876,1188711,165,4.16,2025-02-28,m3S8VigtUDNLPv8Xx7ELHs,2024-11-06T13:40:59-05:00,2024-11-06T13:40:59-05:00,2025-03-05T11:30:42,2024-11-06T13-36-09-05-00_lab-bench_6FZ6fBsnStLxqPDuT7ogBY.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3333333333333333,0.0833333333333333,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1280105,1279940,165,4.48,2025-02-28,7oUrJFC8LG22RvtYg62Vsc,2024-11-06T14:22:19-05:00,2024-11-06T14:22:19-05:00,2025-03-05T11:30:42,2024-11-06T14-18-23-05-00_lab-bench_CUP7FygbsijJfZh7ph3xcw.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1207521,1207356,165,4.23,2025-02-28,8K2AVmRdVfRbfXSqaQ3oXn,2024-11-06T14:35:20-05:00,2024-11-06T14:35:20-05:00,2025-03-05T11:30:42,2024-11-06T14-32-01-05-00_lab-bench_hycktRrj6cz2Vigi6CYZ7Z.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.2727272727272727,0.0787295821622217,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1194017,1193852,165,4.18,2025-02-28,TnYnJkaSYKgiMLyUJwVBaE,2024-11-06T14:28:11-05:00,2024-11-06T14:28:11-05:00,2025-03-05T11:30:42,2024-11-06T14-24-30-05-00_lab-bench_A4vktquXoUkjLymd4ddZiU.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3636363636363636,0.0850376678812259,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1195447,1195282,165,4.18,2025-02-28,nRTLv2kQHWGub2xPoE5F7a,2024-11-06T14:24:29-05:00,2024-11-06T14:24:29-05:00,2025-03-05T11:30:42,2024-11-06T14-22-20-05-00_lab-bench_MzLSCPDiQph7qkj9yVUKUz.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1110645,1110480,165,3.89,2025-02-28,hhzWKc8p8De5zMK5uFdvmG,2024-11-06T14:32:00-05:00,2024-11-06T14:32:00-05:00,2025-03-05T11:30:42,2024-11-06T14-28-12-05-00_lab-bench_2m69yn8xmbAsZ2uiUXXzWJ.json,False
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,Llama 3.1-405B,2024-07-23,Meta AI,405000000000.0,3.8e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3333333333333333,0.0833333333333333,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1167692,1167527,165,4.09,2025-02-28,GMnzG5hgCJAgS2hGLchKRs,2024-11-06T15:09:37-05:00,2024-11-06T15:09:37-05:00,2025-03-05T11:30:42,2024-11-06T15-03-03-05-00_lab-bench_V2Efgg7xe77uDYRqdx4hwW.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4848484848484848,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",939265,939083,182,1.17,2025-02-28,cQRWgniohk3MNxYec7HPrW,2024-11-06T13:08:09-05:00,2024-11-06T13:08:09-05:00,2025-03-05T11:30:42,2024-11-06T13-07-36-05-00_lab-bench_cQwCD7p7pqZJNfsX3t8A4C.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.086376926143874,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",927602,927414,188,1.16,2025-02-28,n8QTCuoGMdbMa6gFLkYX9r,2024-11-06T13:05:54-05:00,2024-11-06T13:05:54-05:00,2025-03-05T11:30:42,2024-11-06T13-05-03-05-00_lab-bench_FVGwXZ3w78oWtWE9HnDhKq.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4848484848484848,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",953505,953317,188,1.19,2025-02-28,Vb98CRA7gYHTYuNwdjmLDH,2024-11-06T13:01:59-05:00,2024-11-06T13:01:59-05:00,2025-03-05T11:30:42,2024-11-06T13-01-36-05-00_lab-bench_7ETF9jmxMxxF9uM78MqrhF.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4848484848484848,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1015369,1015170,199,1.27,2025-02-28,FmhELQEGVJwp5n7c9n8APB,2024-11-06T13:04:21-05:00,2024-11-06T13:04:21-05:00,2025-03-05T11:30:42,2024-11-06T13-03-52-05-00_lab-bench_UqgbCQHCrMiHHme4bvU5Ln.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4242424242424242,0.0873678984444757,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",965798,965644,154,1.21,2025-02-28,EztiogfakGVA2DfnD63q4W,2024-11-06T13:07:35-05:00,2024-11-06T13:07:35-05:00,2025-03-05T11:30:42,2024-11-06T13-05-54-05-00_lab-bench_keuYU7Jf2rWMYbqJC6f743.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.086376926143874,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",927645,927482,163,1.16,2025-02-28,PDu9fzcZNJjnzRSED4YDmy,2024-11-06T13:05:02-05:00,2024-11-06T13:05:02-05:00,2025-03-05T11:30:42,2024-11-06T13-04-22-05-00_lab-bench_D7g8y2ZtTVyBSUWnkTaLiZ.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5757575757575758,0.0873678984444757,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",990074,989907,167,1.24,2025-02-28,mx978NuFPzA8aHBDvZjLEY,2024-11-06T13:08:37-05:00,2024-11-06T13:08:37-05:00,2025-03-05T11:30:42,2024-11-06T13-08-10-05-00_lab-bench_8SxfHHFQYgfxeEeHoioMfX.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.0863769261438741,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1053443,1053255,188,1.32,2025-02-28,oEcQfBPyXMawRrHXWRNnnq,2024-11-06T13:02:37-05:00,2024-11-06T13:02:37-05:00,2025-03-05T11:30:42,2024-11-06T13-02-00-05-00_lab-bench_QzrANtGaXTshm9HejzncFU.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3333333333333333,0.0833333333333333,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",953387,953208,179,1.19,2025-02-28,Jro6Y6vZ7hhaWm4obqAXGr,2024-11-06T13:08:54-05:00,2024-11-06T13:08:54-05:00,2025-03-05T11:30:42,2024-11-06T13-08-38-05-00_lab-bench_X6yVEe8eQVvwwpLWa8zozb.json,False
google/gemini-1.5-pro,Gemini 1.5 Pro,2024-02-15,Google DeepMind,,1.580001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.086376926143874,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",961966,961801,165,1.2,2025-02-28,Q4pcPE6bTVySc6WSxQZQmu,2024-11-06T13:03:50-05:00,2024-11-06T13:03:50-05:00,2025-03-05T11:30:42,2024-11-06T13-02-38-05-00_lab-bench_SkAns7f82Hqdd2ezHAqjsd.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.6666666666666666,0.0833333333333333,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1293659,1291770,1889,3.9,2025-02-28,3JrAVbdkCApozEVdDazs75,2024-11-06T13:27:20-05:00,2024-11-06T13:27:20-05:00,2025-03-05T11:30:43,2024-11-06T13-25-49-05-00_lab-bench_hcA3rK8Uckr69eYDJQftpE.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1311059,1304262,6797,4.01,2025-02-28,mLNdnoKHV8ckDay2Z89zEV,2024-11-06T13:25:48-05:00,2024-11-06T13:25:48-05:00,2025-03-05T11:30:43,2024-11-06T13-23-18-05-00_lab-bench_Kc9T5mhfAxrnW9jXrkHdn4.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5454545454545454,0.0880223487774412,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1265397,1262965,2432,3.83,2025-02-28,BjFUyctbwiUomcxcqV3kHz,2024-11-06T13:29:01-05:00,2024-11-06T13:29:01-05:00,2025-03-05T11:30:43,2024-11-06T13-27-21-05-00_lab-bench_ZhzrKuKQYCW2XeRLfdkMhV.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1268578,1265199,3379,3.85,2025-02-28,PEKsYHbzwhTqadYyB4kDK4,2024-11-06T13:30:55-05:00,2024-11-06T13:30:55-05:00,2025-03-05T11:30:43,2024-11-06T13-29-02-05-00_lab-bench_RUBrRjk6YerBHnYuRyofco.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4848484848484848,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1321424,1319057,2367,3.99,2025-02-28,MvnMTYsmg7jZcgmw3gVrcF,2024-11-06T13:32:39-05:00,2024-11-06T13:32:39-05:00,2025-03-05T11:30:43,2024-11-06T13-30-56-05-00_lab-bench_2aMvEmRdzcqyr73VYn7LLH.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4545454545454545,0.0880223487774412,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1302354,1300141,2213,3.93,2025-02-28,iBz5PJ99dpPhXEDTTH94y3,2024-11-06T13:36:08-05:00,2024-11-06T13:36:08-05:00,2025-03-05T11:30:43,2024-11-06T13-34-27-05-00_lab-bench_NGX3ZqJB5w9iJiY84SxATv.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4545454545454545,0.0880223487774412,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1320641,1317501,3140,4.0,2025-02-28,4qidYVSwsU65hs77nRTSQu,2024-11-06T13:21:46-05:00,2024-11-06T13:21:46-05:00,2025-03-05T11:30:43,2024-11-06T13-20-03-05-00_lab-bench_P7FcBTeBDQKqNd7sLGMhCo.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.3939393939393939,0.086376926143874,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1295231,1286349,8882,3.99,2025-02-28,2ba3wsbtFY8QrbGzDRmqQa,2024-11-06T13:20:02-05:00,2024-11-06T13:20:02-05:00,2025-03-05T11:30:43,2024-11-06T13-17-25-05-00_lab-bench_VSYopsQnbZ6ax6Ab24EaGQ.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.5151515151515151,0.0883477559825045,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1314930,1312398,2532,3.98,2025-02-28,bSijeRFPD3r6GEoAK8tq56,2024-11-06T13:34:26-05:00,2024-11-06T13:34:26-05:00,2025-03-05T11:30:43,2024-11-06T13-32-40-05-00_lab-bench_YUMRWDi2UsCMghK4ouo9VZ.json,False
anthropic/claude-3-5-sonnet-20241022,Claude 3.5 Sonnet,2024-06-20,Anthropic,,3.650001e+25,lab-bench-cloningscenarios,2024-07-14,"{'subset': 'CloningScenarios', 'split': 'train', 'n_shot': 5}",five_shot,33,0.4242424242424242,0.0873678984444757,"{'expert': 0.6, 'non_expert': None, 'random': 0.226}",1184035,1182264,1771,3.57,2025-02-28,KSigpJrF6qbtT2ofYWRku7,2024-11-06T13:23:17-05:00,2024-11-06T13:23:17-05:00,2025-03-05T11:30:43,2024-11-06T13-21-47-05-00_lab-bench_5NmZcjCeiMZeY46gf8ZNqF.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-litqa2,2024-07-14,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3819095477386934,0.0345281794654099,"{'expert': 0.7, 'non_expert': None, 'random': 0.244}",84762,84165,597,0.22,2025-02-28,kZBNqGLntuyL7mRyFGijR8,2024-11-06T08:09:48-05:00,2024-11-06T08:09:48-05:00,2025-03-05T11:30:43,2024-11-06T08-09-36-05-00_lab-bench_UW2GcYbmhNsUx4yn4bcJiR.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-litqa2,2024-07-14,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.4020100502512563,0.0348443849184433,"{'expert': 0.7, 'non_expert': None, 'random': 0.244}",83945,83348,597,0.21,2025-02-28,YajL6LdeEBWXXyPQG64baW,2024-11-06T08:10:48-05:00,2024-11-06T08:10:48-05:00,2025-03-05T11:30:43,2024-11-06T08-10-36-05-00_lab-bench_fhWBxvXsXfin5kvQU6LCo4.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-litqa2,2024-07-14,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.4070351758793969,0.0349138580251904,"{'expert': 0.7, 'non_expert': None, 'random': 0.244}",83335,82738,597,0.21,2025-02-28,aYmMZoirSSH87chxFamsTg,2024-11-06T08:11:02-05:00,2024-11-06T08:11:02-05:00,2025-03-05T11:30:43,2024-11-06T08-10-48-05-00_lab-bench_753f9smjtsGaGgCTnfCBau.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-litqa2,2024-07-14,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.4170854271356783,0.0350414742441823,"{'expert': 0.7, 'non_expert': None, 'random': 0.244}",84317,83720,597,0.22,2025-02-28,6oppeZF9Kei3antdxWb2bR,2024-11-06T08:09:58-05:00,2024-11-06T08:09:58-05:00,2025-03-05T11:30:43,2024-11-06T08-09-49-05-00_lab-bench_Fqw9QVPRjRPPWHtDjHT7va.json,False
openai/gpt-4o,GPT-4o,2024-05-13,OpenAI,,3.810001e+25,lab-bench-litqa2,2024-07-14,"{'subset': 'LitQA2', 'n_shot': 5}",five_shot,199,0.3919597989949748,0.0346939952717051,"{'expert': 0.7, 'non_expert': None, 'random': 0.244}",84655,84023,632,0.22,2025-02-28,VXqigzPao37HM8qpUJAkX4,2024-11-06T08:10:26-05:00,2024-11-06T08:10:26-05:00,2025-03-05T11:30:43,2024-11-06T08-10-16-05-00_lab-bench_WdJK7y9PwJcu7Csq6xSi3s.json,False
